Monthly income,Gender,Earning individual,Responsibility,Mode of income,Network degree,Marriage status,Risk apetite,Location,Age,SIP,AUM,Redemption amount,Redemption count,Months,Cumulative AUM,% Cumulative AUM,AUM/Months,Monthly AUM,Number,Cumulative months,Months moving average
50000-199999,M,Self,No,Business,1st,Single,Aggresive,Nagpur,24,50000,5085883.42,1000600.48,1,62,5085883.42,5.47%,82030.37774,98169.09516,1,62,62
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,51,2000,3149295.61,0,0,90,8235179.03,8.85%,34992.17344,34992.17344,2,152,76
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,Nagpur,49,50000,2641066.8,703350.4,15,45,10876245.83,11.69%,58690.37333,74320.38222,3,197,65.66666667
50000-199999,F,Self,Yes,Salaried,1st,Married,Aggresive,Nagpur,40,15000,2440100.08,0,0,86,13316345.91,14.32%,28373.25674,28373.25674,4,283,70.75
50000-199999,F,Self,Yes,Business,1st,Married,Aggresive,Nagpur,49,50000,2288685.34,0,0,63,15605031.25,16.78%,36328.33873,36328.33873,5,346,69.2
50000-199999,F,Self,No,Business,2nd,Single,Moderate,Nagpur,23,45000,2283668.69,0,0,43,17888699.94,19.23%,53108.57419,53108.57419,6,389,64.83333333
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,27,45000,2279629.08,0,0,43,20168329.02,21.68%,53014.62977,53014.62977,7,432,61.71428571
50000-199999,M,Self,No,Business,2nd,Single,Moderate,Nagpur,23,45000,2260182.47,0,0,43,22428511.49,24.11%,52562.38302,52562.38302,8,475,59.375
50000-199999,M,Self,Yes,Business,3rd,Married,Moderate,Nagpur,49,6000,1875678.31,701248.92,4,47,24304189.8,26.13%,39908.04915,54828.23894,9,522,58
50000-199999,F,Self,Yes,Business,3rd,Married,Moderate,Nagpur,46,6000,1813121.77,375494.99,3,47,26117311.57,28.08%,38577.05894,46566.31404,10,569,56.9
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,59,15000,1794404.41,278493.08,1,78,27911715.98,30.01%,23005.18474,26575.60885,11,647,58.81818182
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,Nagpur,51,25000,1745107.47,137075.15,1,63,29656823.45,31.88%,27700.11857,29875.9146,12,710,59.16666667
50000-199999,M,Self,Yes,Salaried,3rd,Married,Moderate,Nagpur,46,33000,1702121.22,0,0,43,31358944.67,33.71%,39584.21442,39584.21442,13,753,57.92307692
0-49999,M,Alias,No,Business,2nd,Single,Aggresive,Nagpur,10,0,1594113.19,0,0,49,32953057.86,35.43%,32572.16878,32572.16878,14,802,57.2814971
50000-199999,F,Self,Yes,Business,2nd,Married,Moderate,Nagpur,46,0,1528553.5,721444.88,10,49,34481611.36,37.07%,31232.60186,45973.72849,15,851,56.72546125
50000-199999,M,Self,Yes,Business,3rd,Married,Aggresive,Nagpur,47,13000,1301084.5,0,0,32,35782695.86,38.47%,40658.89063,40658.89063,16,883,55.18011993
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,other,44,10000,1264519.22,0,0,76,37047215.08,39.83%,16638.41079,16638.41079,17,959,56.40481875
0-49999,F,Alias,Yes,Business,2nd,Married,Moderate,Nagpur,65,0,1138977.43,100000,1,49,38186192.51,41.05%,23272.47859,25315.75688,18,1008,55.9901599
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,47,8000,1098932.9,1614.43,1,73,39285125.41,42.23%,15053.87534,15075.99082,19,1081,56.88541464
