Date,AUM
4/1/2017,0
7/1/2017,70559
10/1/2017,913472
1/1/2018,2568600
4/1/2018,8522252
7/1/2018,10643064
10/1/2018,15922731
1/1/2019,17835113
4/1/2019,19220885
7/1/2019,21193210
10/1/2019,23594004
1/1/2020,26234289
4/1/2020,29291839
7/1/2020,26841698
10/1/2020,29130571
1/1/2021,27235648
4/1/2021,29153655
7/1/2021,32823643
10/1/2021,35873366
1/1/2022,39815071
4/1/2022,44028594
7/1/2022,50266362
10/1/2022,52323113
1/1/2023,60286991
4/1/2023,64833370
7/1/2023,68817163
10/1/2023,72953344
1/1/2024,76128504
4/1/2024,77322363
7/1/2024,80740388
10/1/2024,86686888
1/1/2025,90912389
